,number,value,datetime_start,datetime_complete,duration,params_clipnorm,params_dropout_rate,params_lr,params_n_layers,params_n_units,params_weight_decay,state
116,116,1.0704749822616577,2023-06-21 06:50:20.069280,2023-06-21 06:53:02.836365,0 days 00:02:42.767085,,0.3,0.001037336243789756,6,192,0.001,COMPLETE
105,105,1.0704823732376099,2023-06-21 06:15:13.182500,2023-06-21 06:19:03.786445,0 days 00:03:50.603945,,0.3,0.0013989658791961003,6,177,0.001,COMPLETE
114,114,1.0706398487091064,2023-06-21 06:42:45.283405,2023-06-21 06:46:01.537310,0 days 00:03:16.253905,,0.3,0.0009599901302613796,6,176,0.001,COMPLETE
91,91,1.070648193359375,2023-06-21 05:30:56.584019,2023-06-21 05:33:35.139924,0 days 00:02:38.555905,,0.3,0.0005737896865592038,5,147,0.001,COMPLETE
113,113,1.0707266330718994,2023-06-21 06:39:45.373997,2023-06-21 06:42:45.278980,0 days 00:02:59.904983,,0.3,0.0014762152874810146,6,177,0.001,COMPLETE
90,90,1.0707290172576904,2023-06-21 05:29:11.887355,2023-06-21 05:30:56.580963,0 days 00:01:44.693608,,0.3,0.0006745104179109798,5,154,0.001,COMPLETE
112,112,1.0707695484161377,2023-06-21 06:37:29.652672,2023-06-21 06:39:45.371620,0 days 00:02:15.718948,,0.3,0.0013391892345069442,6,178,0.001,COMPLETE
115,115,1.0708177089691162,2023-06-21 06:46:01.540234,2023-06-21 06:50:20.064855,0 days 00:04:18.524621,,0.3,0.0010313613686033759,6,192,0.001,COMPLETE
108,108,1.070826530456543,2023-06-21 06:25:35.885817,2023-06-21 06:28:01.711748,0 days 00:02:25.825931,,0.3,0.0005999701412083118,5,147,0.001,COMPLETE
88,88,1.0708669424057007,2023-06-21 05:24:52.656661,2023-06-21 05:27:39.505639,0 days 00:02:46.848978,,0.3,0.0015263615825560413,6,133,0.001,COMPLETE
92,92,1.070880651473999,2023-06-21 05:33:35.145672,2023-06-21 05:37:06.617500,0 days 00:03:31.471828,,0.3,0.000467911178847577,5,162,0.001,COMPLETE
99,99,1.0709086656570435,2023-06-21 05:56:02.635785,2023-06-21 05:58:32.114683,0 days 00:02:29.478898,,0.3,0.0004605946281542867,5,167,0.001,COMPLETE
86,86,1.070953130722046,2023-06-21 05:18:04.575016,2023-06-21 05:21:43.433065,0 days 00:03:38.858049,,0.3,0.0016991436426826542,9,109,0.001,COMPLETE
101,101,1.0709593296051025,2023-06-21 06:01:25.370392,2023-06-21 06:03:23.442676,0 days 00:01:58.072284,,0.3,0.0006110112932290704,5,167,0.001,COMPLETE
109,109,1.0709807872772217,2023-06-21 06:28:01.714758,2023-06-21 06:30:35.333330,0 days 00:02:33.618572,,0.3,0.0006680336269646523,5,148,0.001,COMPLETE
84,84,1.0709924697875977,2023-06-21 05:13:44.515456,2023-06-21 05:15:26.978201,0 days 00:01:42.462745,,0.1,0.0015854297038835588,8,78,0.001,COMPLETE
110,110,1.0710254907608032,2023-06-21 06:30:35.336200,2023-06-21 06:34:14.087360,0 days 00:03:38.751160,,0.3,0.0006431477397931053,7,150,0.001,COMPLETE
94,94,1.071040391921997,2023-06-21 05:39:15.549881,2023-06-21 05:43:54.562637,0 days 00:04:39.012756,,0.3,0.0004538657879804861,5,166,0.001,COMPLETE
71,71,1.071042537689209,2023-06-21 04:38:33.379880,2023-06-21 04:40:20.586710,0 days 00:01:47.206830,,0.1,0.00094901004132941,11,91,0.001,COMPLETE
16,16,1.0710457563400269,2023-06-21 03:25:37.346705,2023-06-21 03:26:01.723024,0 days 00:00:24.376319,,0.1,0.0008815333131556562,11,122,1e-06,COMPLETE
89,89,1.0710657835006714,2023-06-21 05:27:39.509312,2023-06-21 05:29:11.884813,0 days 00:01:32.375501,,0.3,0.0007523296391037679,5,162,0.001,COMPLETE
82,82,1.0711181163787842,2023-06-21 05:08:50.788752,2023-06-21 05:12:00.794945,0 days 00:03:10.006193,,0.1,0.002038514642240784,10,82,0.001,COMPLETE
103,103,1.0711214542388916,2023-06-21 06:10:08.921986,2023-06-21 06:13:04.288068,0 days 00:02:55.366082,,0.3,0.0005123888583038779,6,170,0.001,COMPLETE
55,55,1.0711328983306885,2023-06-21 04:10:57.519476,2023-06-21 04:13:14.564793,0 days 00:02:17.045317,,0.1,0.009415911301764572,8,82,0.001,COMPLETE
53,53,1.0711727142333984,2023-06-21 04:08:22.172637,2023-06-21 04:09:31.077564,0 days 00:01:08.904927,,0.1,0.0028241078536470074,8,59,0.001,COMPLETE
118,118,1.0711864233016968,2023-06-21 06:55:07.179149,2023-06-21 06:57:30.361592,0 days 00:02:23.182443,,0.3,0.0010336874508456492,6,196,1e-08,COMPLETE
111,111,1.0712032318115234,2023-06-21 06:34:14.095531,2023-06-21 06:37:29.649952,0 days 00:03:15.554421,,0.3,0.0006361910185811922,7,146,0.001,COMPLETE
102,102,1.0712274312973022,2023-06-21 06:03:23.446613,2023-06-21 06:10:08.919383,0 days 00:06:45.472770,,0.3,0.00037146329152253554,5,140,0.001,COMPLETE
66,66,1.0712637901306152,2023-06-21 04:27:53.469245,2023-06-21 04:30:21.150854,0 days 00:02:27.681609,,0.1,0.0046776484523017425,9,95,0.001,COMPLETE
98,98,1.0712717771530151,2023-06-21 05:50:55.600585,2023-06-21 05:56:02.632903,0 days 00:05:07.032318,,0.3,0.0003606353319690003,5,183,0.001,COMPLETE
107,107,1.0713212490081787,2023-06-21 06:23:22.136135,2023-06-21 06:25:35.882676,0 days 00:02:13.746541,,0.3,0.0014384596101981255,5,156,0.001,COMPLETE
48,48,1.0713268518447876,2023-06-21 04:01:25.319486,2023-06-21 04:02:34.938856,0 days 00:01:09.619370,,0.1,0.0012039812565252791,10,119,0.001,COMPLETE
83,83,1.071337103843689,2023-06-21 05:12:00.799717,2023-06-21 05:13:44.506127,0 days 00:01:43.706410,,0.1,0.0016861232289932446,10,77,0.001,COMPLETE
26,26,1.0713404417037964,2023-06-21 03:31:18.007479,2023-06-21 03:31:49.803521,0 days 00:00:31.796042,,0.1,0.001961242390129582,11,65,1e-09,COMPLETE
31,31,1.071443796157837,2023-06-21 03:35:58.283038,2023-06-21 03:36:35.207811,0 days 00:00:36.924773,,0.1,0.00200855724473282,10,65,1e-09,COMPLETE
96,96,1.0714457035064697,2023-06-21 05:45:56.297385,2023-06-21 05:48:11.309979,0 days 00:02:15.012594,,0.3,0.0007500250700496659,6,148,0.0,COMPLETE
51,51,1.0714659690856934,2023-06-21 04:05:27.532483,2023-06-21 04:06:46.598427,0 days 00:01:19.065944,,0.1,0.00120483692823915,11,86,0.001,COMPLETE
81,81,1.0714805126190186,2023-06-21 05:05:55.113708,2023-06-21 05:08:50.784870,0 days 00:02:55.671162,,0.1,0.0010844047839210454,11,88,0.001,COMPLETE
75,75,1.0715323686599731,2023-06-21 04:44:31.534384,2023-06-21 04:49:51.245703,0 days 00:05:19.711319,,0.1,0.0007406479669292885,11,69,0.001,COMPLETE
42,42,1.071535587310791,2023-06-21 03:46:11.258846,2023-06-21 03:46:47.677204,0 days 00:00:36.418358,,0.1,0.0012813173350959212,12,62,1e-09,COMPLETE
59,59,1.0715500116348267,2023-06-21 04:15:48.151552,2023-06-21 04:16:29.425188,0 days 00:00:41.273636,,0.1,0.002248170008501475,6,98,0.001,COMPLETE
119,119,1.0715503692626953,2023-06-21 06:57:30.363981,2023-06-21 07:01:03.199105,0 days 00:03:32.835124,,0.3,0.00031900055894471983,6,177,0.001,COMPLETE
62,62,1.0715526342391968,2023-06-21 04:20:01.379643,2023-06-21 04:21:16.120111,0 days 00:01:14.740468,,0.1,0.0058274423120849295,8,82,0.001,COMPLETE
61,61,1.0715551376342773,2023-06-21 04:17:46.453857,2023-06-21 04:20:01.374737,0 days 00:02:14.920880,,0.1,0.0029281309811177944,10,70,0.001,COMPLETE
87,87,1.071562647819519,2023-06-21 05:21:43.437951,2023-06-21 05:24:52.649409,0 days 00:03:09.211458,,0.3,0.0030895397341636766,9,111,0.001,COMPLETE
117,117,1.0715759992599487,2023-06-21 06:53:02.841614,2023-06-21 06:55:07.176691,0 days 00:02:04.335077,,0.3,0.001100658420426314,6,187,0.0001,COMPLETE
72,72,1.0716155767440796,2023-06-21 04:40:20.596194,2023-06-21 04:41:44.743411,0 days 00:01:24.147217,,0.1,0.0009363141250001635,10,93,0.001,COMPLETE
35,35,1.0717556476593018,2023-06-21 03:38:38.429466,2023-06-21 03:39:06.678110,0 days 00:00:28.248644,,0.1,0.00029640730977515556,12,199,1e-09,COMPLETE
67,67,1.0718154907226562,2023-06-21 04:30:21.153282,2023-06-21 04:31:34.961083,0 days 00:01:13.807801,,0.2,0.004804466522591445,9,120,0.001,COMPLETE
73,73,1.0718170404434204,2023-06-21 04:41:44.749487,2023-06-21 04:43:09.134331,0 days 00:01:24.384844,,0.1,0.0018470569504316836,8,78,0.001,COMPLETE
100,100,1.0718289613723755,2023-06-21 05:58:32.117330,2023-06-21 06:01:25.368317,0 days 00:02:53.250987,,0.3,0.00021190247388852126,6,187,0.001,COMPLETE
85,85,1.0718315839767456,2023-06-21 05:15:26.984368,2023-06-21 05:18:04.570673,0 days 00:02:37.586305,,0.1,0.009601233996949359,8,76,0.001,COMPLETE
27,27,1.071868896484375,2023-06-21 03:31:49.807397,2023-06-21 03:32:16.553283,0 days 00:00:26.745886,,0.1,0.001956299243987761,11,50,1e-09,COMPLETE
52,52,1.0718793869018555,2023-06-21 04:06:46.604569,2023-06-21 04:08:22.170024,0 days 00:01:35.565455,,0.1,0.0013266328408109982,11,89,0.001,COMPLETE
50,50,1.0718837976455688,2023-06-21 04:04:07.748903,2023-06-21 04:05:27.528360,0 days 00:01:19.779457,,0.25,0.0005476009048168244,10,106,0.001,COMPLETE
