,number,value,datetime_start,datetime_complete,duration,params_clipnorm,params_dropout_rate,params_lr,params_n_layers,params_n_units,params_weight_decay,state
63,63,1.0709596872329712,2023-06-21 13:21:28.009550,2023-06-21 13:22:32.917096,0 days 00:01:04.907546,,0.3,0.0008295385440876457,7,117,0.0,COMPLETE
113,113,1.0709675550460815,2023-06-21 15:25:31.051046,2023-06-21 15:28:55.534044,0 days 00:03:24.482998,,0.25,0.0005907548397845499,10,130,0.001,COMPLETE
99,99,1.0709710121154785,2023-06-21 14:38:16.417832,2023-06-21 14:40:17.768367,0 days 00:02:01.350535,,0.25,0.0016492987325204469,10,142,0.001,COMPLETE
94,94,1.0709738731384277,2023-06-21 14:25:56.544655,2023-06-21 14:28:34.626543,0 days 00:02:38.081888,,0.3,0.0011488779252712372,10,116,0.001,COMPLETE
54,54,1.071069359779358,2023-06-21 13:12:55.049297,2023-06-21 13:13:42.599698,0 days 00:00:47.550401,,0.3,0.0011339870307289323,9,119,0.0,COMPLETE
23,23,1.071085810661316,2023-06-21 12:47:23.059829,2023-06-21 12:47:41.202271,0 days 00:00:18.142442,,0.25,0.0014949757152198616,5,93,1e-05,COMPLETE
102,102,1.0710980892181396,2023-06-21 14:48:03.738581,2023-06-21 14:50:55.293229,0 days 00:02:51.554648,,0.25,0.0015753509753978709,10,145,0.001,COMPLETE
117,117,1.0711135864257812,2023-06-21 15:40:32.037993,2023-06-21 15:44:58.713049,0 days 00:04:26.675056,1.0,0.25,0.0004389194022727178,10,146,0.001,COMPLETE
115,115,1.071119785308838,2023-06-21 15:32:57.951358,2023-06-21 15:35:03.088874,0 days 00:02:05.137516,,0.25,0.0002675478184605626,10,157,0.001,COMPLETE
111,111,1.0711455345153809,2023-06-21 15:19:28.709109,2023-06-21 15:23:22.146451,0 days 00:03:53.437342,,0.25,0.0007333926907887657,10,132,0.001,COMPLETE
